Tornado # in Year;Year;Month;Day;Time (CST);County;Damage Scale;Maximum Path Width (Yards);Path Length (Miles);Fatalities;Injuries;Location;
6;1998;4;8;1956;St. Clair;F2;200;14.4;2;12;2.3 NNE Moody-3.2 SE Wattsville;
5;1998;4;8;1923;Dekalb;F1;100;1.8;0;0;1 S Lake View - 1 NE Lake View;
4;1998;4;8;1842;Tuscaloosa-Jefferson;F5;1320;30.3;32;259;10.0 NNW Brookwood-Pratt City;
3;1998;4;8;1801;Pickens-Tuscaloosa;F3;300;19.5;0;1;2.0 S Gordo-7.6 N Northport;
2;1998;4;08;0920;Covington;F1;30;0.1;0;0;Heath;
1;1998;2;22;0800;Houston;F0;50;0.3;0;0;Taylor;
23;1999;10;9;0415;Mobile;F1;300;2.5;0;0;2.2 SW Saraland-2.1 NW Saraland;
22;1999;10;9;0320;Mobile;F0;200;0.7;0;0;Near Langan Ball Park West Mobile;
21;1999;7;12;0915;Baldwin;F0;50;0.1;0;0;Point Clear;
20;1999;5;31;1442;Baldwin;F0;20;0.1;0;0;Gulf Shores;
19;1999;5;29;1900;Baldwin;F0;20;0.1;0;0;Fort Morgan;
18;1999;5;7;1430;Elmore;F0;20;0.1;0;0;2.0 W Kent;
17;1999;5;7;1428;Elmore;F0;20;0.1;0;0;2.0 W Kent;
16;1999;5;7;1206;Autauga;F0;30;0.5;0;0;2.9 NE Prattville-3.4 NE Prattville;
15;1999;4;27;1305;Dekalb;F0;30;0.3;0;0;Rainsville;
14;1999;4;27;1240;Dekalb;F0;30;0.5;0;0;1 NW Fyffe;
13;1999;4;15;0100;Clarke;F0;150;3.0;0;0;3.2 NW Thomasville- 4 N Thomasville;
12;1999;3;13;2030;Covington;F1;50;9.0;0;0;N Sanford-N Opp;
11;1999;3;3;0215;Covington;F0;20;2.0;0;0;1.3 SW Horn Hill-1.9 Se Horn Hill;
10;1999;2;27;1951;Etowah;F0;50;1.3;0;0;5.3 SW Southside-4.5 SSW Southside;
9;1999;2;27;1915;Blount;F2;50;0.4;0;1;2.0 SW Nectar-1.6 SW Nectar;
8;1999;2;27;1825;Winston;F0;30;0.5;0;0;3.5 SSW Double Springs;
7;1999;2;27;1755;Lauderdale;F2;150;1.7;0;0;4.2 NE Killen-6.1 NE Killen;
6;1999;2;23;1745;Baldwin;F0;30;2.0;0;0;Summerdale;
5;1999;1;22;1715;Winston;F1;30;1.5;0;0;3.8 WNW Double Springs-3.5 NW Double Springs;
4;1999;1;22;1652;Fayette;F0;30;0.2;0;0;14.1 NE Fayette-14.3 NE Fayette;
3;1999;1;22;1643;Morgan;F0;30;0.3;0;0;9 W Falkville;
2;1999;1;22;1543;Colbert;F0;30;1.0;0;0;S Muscle Shoals;
1;1999;1;22;1539;Franklin;F0;30;0.3;0;0;7 NW Russellville;
44;2000;12;16;1819;Randolph;F0;40;1.0;0;0;8.3 SE Wedowee-8.9 SE Wedowee;
43;2000;12;16;1746;Macon;F0;50;0.7;0;0;2.9 NE Shorter-3.6 NE Shorter;
42;2000;12;16;1655;Autauga;F0;20;0.2;0;0;3.2 SE Pine Level;
41;2000;12;16;1517;Calhoun;F0;20;0.3;0;0;1.0 SE Bynum-1.3 SE Bynum;
